<----Clip Here for Data----->
HGNC ID	Approved Name	Aliases	Name Aliases	Pubmed IDs
21621	chromosome 6 open reading frame 202	dJ182O16.3		
17971	chromosome 6 open reading frame 203	HSPC230, PRED31		11042152, 11707072
21638	chromosome 6 open reading frame 204	NY-BR-15, bA57K17.2		
21598	chromosome 6 open reading frame 208	FLJ13162, dJ182D15.1		
17872	chromosome 6 open reading frame 211	FLJ12910		
30956	chromosome 6 open reading frame 214 (putative)	bQB230F21.2, FLJ40693, bQB10J12.2		
30986	chromosome 6 open reading frame 215	GT257		8838313
32526	chromosome 6 open reading frame 217			
28626	chromosome 6 open reading frame 218	MGC40222		12477932
21553	chromosome 6 open reading frame 220	dJ439I14.1		
33699	chromosome 6 open reading frame 221	ECAT1	"ES cell associated transcript 1"	
33769	chromosome 6 open reading frame 222	DKFZp779B1540		
28692	chromosome 6 open reading frame 223	MGC45491		12477932
33858	chromosome 6 open reading frame 225	DKFZp586F0922, LOC619208		
34431	chromosome 6 open reading frame 226	LOC441150		
33813	chromosome 6 open reading frame 227	FLJ43752		
1346	complement component 7			
13245	chromosome 7 open reading frame 4			10329000
16001	chromosome 7 open reading frame 10	FLJ11808, ORF19, DERP13	"Russel-Silver syndrome candidate", "dermal papilla derived protein 13"	11829489
16002	chromosome 7 open reading frame 11	ORF20, TTDN1	tricothiodystrophy, non-photosensitive 1	11829489
17126	chromosome 7 open reading frame 13	MY040		11890671
16973	chromosome 7 open reading frame 16	GSBS		10051666, 9920894
21690	chromosome 7 open reading frame 20	CGI-20, H_NH1244M04.5, CEE	"CGI-20 protein", "conserved edge protein"	10810093
21707	chromosome 7 open reading frame 23	MGC4175		
21703	chromosome 7 open reading frame 25	MGC2821		
21702	chromosome 7 open reading frame 26	MGC2718		
21701	chromosome 7 open reading frame 27	MGC22916		
21691	chromosome 7 open reading frame 28A	CGI-43, H_DJ1163J12.2	"CGI-43 protein"	10810093
21717	chromosome 7 open reading frame 28B	DKFZP586I1023, H_NH0577018.2, MGC19819	"similar to CGI-43 protein"	12477932
21720	chromosome 7 open reading frame 29			
21721	chromosome 7 open reading frame 30			
21722	chromosome 7 open reading frame 31			
21724	chromosome 7 open reading frame 33			
21750	chromosome 7 open reading frame 34	CTM-1		12477932
24857	chromosome 7 open reading frame 36	GK003		12477932
25401	chromosome 7 open reading frame 38	FLJ36794, DKFZp727G131		10607616
27797	chromosome 7 open reading frame 40	FLJ38860		14702039
25457	chromosome 7 open reading frame 41	FLJ25903, Ells1		12477932
25476	chromosome 7 open reading frame 42	FLJ10099, FLJ13090		12477932
25604	chromosome 7 open reading frame 43	FLJ10925		12477932
21868	chromosome 7 open reading frame 44	FLJ10803		
29580	chromosome 7 open reading frame 45	FLJ40316		12477932
27977	chromosome 7 open reading frame 46	FLJ45875, MGC72075, DKFZp686F0810		12477932
28320	chromosome 7 open reading frame 47	MGC22793		12477932
22432	chromosome 7 open reading frame 49	MGC5242, FLJ27285, FLJ22450		12690205
22421	chromosome 7 open reading frame 50	MGC11257, YCR016W		
22009	chromosome 7 open reading frame 51	FLJ37538		
22030	chromosome 7 open reading frame 52	FLJ39237		
22036	chromosome 7 open reading frame 53	FLJ39575		
24158	chromosome 7 open reading frame 54	NAG8, NSG-X	"nasopharyngeal carcinoma associated gene protein-8"	
26946	chromosome 7 open reading frame 55	HSPC268, FMC1	"formation of mitochondrial complexes 1 homolog (S. cerevisiae)"	12477932
22247	chromosome 7 open reading frame 57			
26159	chromosome 7 open reading frame 58	FLJ21986		
33772	chromosome 7 open reading frame 59			
26475	chromosome 7 open reading frame 60	DKFZp762M126, FLJ31818	"hypothetical protein FLJ31818"	
22135	chromosome 7 open reading frame 61	IMAGE:4839025		12477932, 12690205
22402	chromosome 7 open reading frame 62	MGC26647		12477932, 12690205
26107	chromosome 7 open reading frame 63	FLJ21062	"hypothetical protein FLJ21062", "flagellar protein 69 homolog (Chlamydomonas)"	12477932
21785	chromosome 7 open reading frame 64	DKFZp564O0523, HSPC304		
34432	chromosome 7 open reading frame 65	FLJ44108		
33712	chromosome 7 open reading frame 66			
28859	chromosome 7 open reading frame 68	FLJ21076, HIG-2	"hypoxia inducible gene 2"	10690527, 15930302
21911	chromosome 7 open reading frame 69	FLJ21075		
22422	chromosome 7 open reading frame 70	SIPAR, MGC12966	"STAT3-interacting protein as a repressor"	
22364	chromosome 7 open reading frame 71			
22564	chromosome 7 open reading frame 72			
1352	complement component 8, alpha polypeptide			
1353	complement component 8, beta polypeptide			
1354	complement component 8, gamma polypeptide			
1357	chromosome 8 open reading frame 4	TC-1, hTC-1	"human thyroid cancer 1"	11056052
15544	chromosome 8 open reading frame 8			11896452
15548	chromosome 8 open reading frame 12			
17737	chromosome 8 open reading frame 17	MOST-1		
31745	chromosome 8 open reading frame 22			
30442	chromosome 8 open reading frame 23			
24095	chromosome 8 open reading frame 24			
31950	chromosome 8 open reading frame 25			
30937	chromosome 8 open reading frame 26			
25912	chromosome 8 open reading frame 28			
15681	chromosome 8 open reading frame 29			
24161	chromosome 8 open reading frame 30A	FLJ40907, LOC51236	"brain protein 16"	
32323	chromosome 8 open reading frame 30B			
26731	chromosome 8 open reading frame 31	FLJ37131		
26104	chromosome 8 open reading frame 33	FLJ20989		
30905	chromosome 8 open reading frame 34	vest-1, VEST1	"vestibule 1"	
27232	chromosome 8 open reading frame 37	FLJ30600		12477932
28625	chromosome 8 open reading frame 38	MGC40214		12477932
28818	chromosome 8 open reading frame 39	PRO1905		
25166	chromosome 8 open reading frame 40			12477932
26262	chromosome 8 open reading frame 41	FLJ23263		12477932
26951	chromosome 8 open reading frame 42	INM01		
25646	chromosome 8 open reading frame 44	FLJ11267		12477932
26368	chromosome 8 open reading frame 45	FLJ25692		
28498	chromosome 8 open reading frame 46	MGC33510		12477932
26823	chromosome 8 open reading frame 47	FLJ39553		12477932
26345	chromosome 8 open reading frame 48	FLJ25402		12477932
32200	chromosome 8 open reading frame 49	FLJ30972		
27985	chromosome 8 open reading frame 50			12477932
28457	chromosome 8 open reading frame 51	MGC3113		12477932
26652	chromosome 8 open reading frame 54	FLJ35721		
29656	chromosome 8 open reading frame 55	DSCD75		12477932
28595	chromosome 8 open reading frame 56	MGC39526		12477932
32233	chromosome 8 open reading frame 58	FLJ34715		
32235	chromosome 8 open reading frame 59			12477932
32274	chromosome 8 open reading frame 60	FLJ12193		
15785	chromosome 8 open reading frame 62		"similar to phosphoserine aminotransferase isoform 1"	
21804	chromosome 8 open reading frame 63			
32282	chromosome 8 open reading frame 66	DKFZp434O0331		
21519	chromosome 8 open reading frame 67			
32290	chromosome 8 open reading frame 68			
32292	chromosome 8 open reading frame 69			
24494	chromosome 8 open reading frame 71	DKFZP434F122		11230166
27814	chromosome 8 open reading frame 73			12477932
32296	chromosome 8 open reading frame 74			
32299	chromosome 8 open reading frame 75			
25924	chromosome 8 open reading frame 76	FLJ14825		
27821	chromosome 8 open reading frame 77			12477932
26534	chromosome 8 open reading frame 78	FLJ32770		
26725	chromosome 8 open reading frame 79	FLJ36980, KIAA1456		
33550	chromosome 8 open reading frame 80	HMFN0672, SLIP-GC	"speckled-like pattern in the germinal center"	15592455, 19734146
32158	chromosome 8 open reading frame 81			
33826	chromosome 8 open reading frame 82	MGC70857		12477932
27828	chromosome 8 open reading frame 83	DKFZp779L1068, PRO0845, LOC286144		12477932, 14702039
30362	chromosome 8 open reading frame 84	RPESP	"RPE spondin"	12107410
33842	chromosome 8 open reading frame 85	AARD, LOC441376	"Alanine and arginine-rich domain-containing protein"	
33774	chromosome 8 open reading frame 86	FLJ43582		
1358	complement component 9			
1361	chromosome 9 open reading frame 3	C90RF3, FLJ14675, APO	aminopeptidase O	12477932
1362	chromosome 9 open reading frame 4	CG-6		10603000
1363	chromosome 9 open reading frame 5	CG-2		10564813
1364	chromosome 9 open reading frame 6	CG-8, FLJ20457		
1365	chromosome 9 open reading frame 7	D9S2135, flower		19737521
1367	chromosome 9 open reading frame 9			
1359	chromosome 9 open reading frame 11	Afaf	"Acr formation associated factor", "Acrosome formation associated factor"	
17823	chromosome 9 open reading frame 16	EST00098, FLJ12823, MGC4639		10369878
16881	chromosome 9 open reading frame 21			
19909	chromosome 9 open reading frame 23	bA296L22.5, MGC29635		
19919	chromosome 9 open reading frame 24	bA573M23.4, NYD-SP22, MGC32921, MGC33614		12029067
19920	chromosome 9 open reading frame 25	bA573M23.5, FLJ39031		9110174, 8619474
23367	chromosome 9 open reading frame 27	EST-YD1		
23369	chromosome 9 open reading frame 29			
23370	chromosome 9 open reading frame 30	MGC17337		
23372	chromosome 9 open reading frame 31	MOST2		
23388	chromosome 9 open reading frame 35			
23395	chromosome 9 open reading frame 37			
23398	chromosome 9 open reading frame 38	PRO0365		
23433	chromosome 9 open reading frame 40	FLJ10110		
23435	chromosome 9 open reading frame 41	FLJ25795		12477932
23570	chromosome 9 open reading frame 43	MGC17358		12477932
23569	chromosome 9 open reading frame 44			
23642	chromosome 9 open reading frame 45	GL012, FLJ22161		12477932
23633	chromosome 9 open reading frame 46	MDS030, FLJ14688, AD025	"uncharacterized hematopoietic stem/progenitor cells protein MDS030"	12477932
23669	chromosome 9 open reading frame 47	FLJ37523, bA791O21.3		
23677	chromosome 9 open reading frame 50	FLJ35803		
23678	chromosome 9 open reading frame 51	bA392E22.4		
23831	chromosome 9 open reading frame 53	bA149I2.3		
20950	chromosome 9 open reading frame 56			
27037	chromosome 9 open reading frame 57			12477932
28581	chromosome 9 open reading frame 62	MGC35463		12477932
28144	chromosome 9 open reading frame 64	MGC10999		12477932
26436	chromosome 9 open reading frame 66	FLJ31158		
25472	chromosome 9 open reading frame 68	FLJ10058		
31009	chromosome 9 open reading frame 69	bA83N9.1		
28260	chromosome 9 open reading frame 70	MGC16153		12477932
28537	chromosome 9 open reading frame 71	MGC34760		12477932
28337	chromosome 9 open reading frame 72	MGC23980		12477932
27862	chromosome 9 open reading frame 73			
26894	chromosome 9 open reading frame 75	FLJ90254		12477932
24932	chromosome 9 open reading frame 78	HSPC220		11042152, 12097419
26672	chromosome 9 open reading frame 79	FLJ35866		
24994	chromosome 9 open reading frame 80	HSPC043		11042152
25834	chromosome 9 open reading frame 82	FLJ13657		8619474, 9110174
26535	chromosome 9 open reading frame 84	FLJ32779		
28784	chromosome 9 open reading frame 85	MGC61599		12477932
24703	chromosome 9 open reading frame 86	FLJ10101, FLJ13045, pp8875, bA216L13.9, Parf, RBEL1	"Rab-like protein 1"	14702039, 16582619, 17962191, 19433581
28148	chromosome 9 open reading frame 89	MGC11115, bA370F5.1		12477932
24513	chromosome 9 open reading frame 91	DKFZp547P234, FLJ38045		14702039
19054	chromosome 9 open reading frame 92	Em:AL513424.1		
29828	chromosome 9 open reading frame 93	FLJ39267, FLJ46740, Em:AL513423.1, bA778P13.1, bA536D16.1	"myosin tail domain containing protein"	14702039
26057	chromosome 9 open reading frame 95	FLJ20559, NRK1, bA235O14.2		12477932
28669	chromosome 9 open reading frame 96	MGC43306		12477932
26526	chromosome 9 open reading frame 98	FLJ32704		12477932
25909	chromosome 9 open reading frame 100	FLJ14642		12477932
26922	chromosome 9 open reading frame 102	FLJ37706, RAD26L		
31367	chromosome 9 open reading frame 103	bA522I20.2		
31368	chromosome 9 open reading frame 104	bA54A22.4		
31370	chromosome 9 open reading frame 106	bA65J3.5		
31372	chromosome 9 open reading frame 107	bA785H23.1		
27855	chromosome 9 open reading frame 109	DKFZp686A0127		
21865	chromosome 9 open reading frame 110			
26933	chromosome 9 open reading frame 114	HSPC109		11042152
28435	chromosome 9 open reading frame 116	MGC29761		12477932
27843	chromosome 9 open reading frame 117			
25943	chromosome 9 open reading frame 118	bA342C23.1		
31412	chromosome 9 open reading frame 119	bA395P17.9		12477932
31413	chromosome 9 open reading frame 120	bA3J11.5		
27239	chromosome 9 open reading frame 122			12477932
30536	chromosome 9 open reading frame 123	MGC4730		12477932
28180	chromosome 9 open reading frame 125	MGC12992		12477932
30762	chromosome 9 open reading frame 128			
31116	chromosome 9 open reading frame 129	bA165J3.3, OTTHUMG00000020248		
27858	chromosome 9 open reading frame 130			
31418	chromosome 9 open reading frame 131	MGC41945		
31420	chromosome 9 open reading frame 133			
31421	chromosome 9 open reading frame 134	bA20A20.1		
31422	chromosome 9 open reading frame 135	OTTHUMP00000021439		
31426	chromosome 9 open reading frame 139	FLJ36268, FLJ42909		
28055	chromosome 9 open reading frame 140			12477932
18147	chromosome 9 open reading frame 141			
27849	chromosome 9 open reading frame 142			
24504	chromosome 9 open reading frame 144	DKFZp434J193		
31437	chromosome 9 open reading frame 146			
31438	chromosome 9 open reading frame 147	bA32M23.3		
24214	chromosome 9 open reading frame 148			
31452	chromosome 9 open reading frame 150	MGC46502, FLJ38505, bA3L8.2	"similar to DNA segment, Chr 4, Brigham & Womens Genetics 0951 expressed"	12766061
31455	chromosome 9 open reading frame 152	bA470J20.2		
31456	chromosome 9 open reading frame 153	bA507D14.1		
30967	chromosome 9 open reading frame 156	HSPC219, NAP1	"Nef (lentivirus myristoylated factor) associated protein 1"	
26718	chromosome 9 open reading frame 163	FLJ36779		
25981	chromosome 9 open reading frame 167	FLJ20245		
30529	chromosome 9 open reading frame 169	MGC59937	"Similar to RIKEN cDNA 2310002J15 gene"	12477932
33817	chromosome 9 open reading frame 170	FLJ45537		
33776	chromosome 9 open reading frame 171	FLJ46082		
37284	chromosome 9 open reading frame 172			
37285	chromosome 9 open reading frame 173	FLJ40246		
1160	chromosome 10 open reading frame 2	PEO, PEO1, TWINKLE, FLJ21832, TWINL, ATXN8	"twinkle", "ataxin 8"	11431692, 10645945, 16135556
1162	chromosome 10 open reading frame 4			
23355	chromosome 10 open reading frame 10	DEPP		
23405	chromosome 10 open reading frame 11	CDA017		
23420	chromosome 10 open reading frame 12	DKFZP564P1916, FLJ13022		
23484	chromosome 10 open reading frame 18	FLJ20360, bA318E3.2		12477932
23509	chromosome 10 open reading frame 25	FLJ30567		
23510	chromosome 10 open reading frame 26	FLJ20154		
23511	chromosome 10 open reading frame 27	FLJ32820, spatial		
23512	chromosome 10 open reading frame 28	GIDRP86, PSORT		
23515	chromosome 10 open reading frame 31	FLJ40494, Em:AC026887.2		
23516	chromosome 10 open reading frame 32	FLJ40752		
23519	chromosome 10 open reading frame 35			12477932
23524	chromosome 10 open reading frame 40	AC023904.2		12477932
23525	chromosome 10 open reading frame 41			
21291	chromosome 10 open reading frame 43	bA145E20.5		
23583	chromosome 10 open reading frame 44	bA402L1.3		
23727	chromosome 10 open reading frame 46	FLJ40409, MGC33215		12477932
23728	chromosome 10 open reading frame 47	MGC35403		12477932
17776	chromosome 10 open reading frame 50	bA128B16.2		
30165	chromosome 10 open reading frame 52	FLJ35853		
27421	chromosome 10 open reading frame 53	Em:AC069546.1		12477932
30085	chromosome 10 open reading frame 54			12975309
31008	chromosome 10 open reading frame 55	bA417O11.3		
25804	chromosome 10 open reading frame 57	FLJ13263, bA369J21.6		14702039
28651	chromosome 10 open reading frame 58	MGC4248		11483580
23294	chromosome 10 open reading frame 62	bA548K23.1		
28716	chromosome 10 open reading frame 67	MGC46732		12477932
25779	chromosome 10 open reading frame 68	FLJ13031		
26973	chromosome 10 open reading frame 71	FLJ45913		
26470	chromosome 10 open reading frame 72	FLJ31737		
28060	chromosome 10 open reading frame 75	bA34D15.5, FLJ12974		12477932
25788	chromosome 10 open reading frame 76	FLJ13114		14702039
29574	chromosome 10 open reading frame 78	bA373N18.1, FLJ41960		12477932
26684	chromosome 10 open reading frame 79	FLJ36006, bA373N18.2, FLJ22944		14702039
26285	chromosome 10 open reading frame 81	FLJ23537, bA211N11.2		12477932
28500	chromosome 10 open reading frame 82	MGC33547, Em:AC016825.4		12477932
25794	chromosome 10 open reading frame 84	FLJ13188, bA319I23.1		12477932
31365	chromosome 10 open reading frame 85	FLJ37402, Em:AC023282.2		
25822	chromosome 10 open reading frame 88	FLJ13490, Em:AC073585.5		12477932
26563	chromosome 10 open reading frame 90	FLJ32938, bA422P15.2		
27275	chromosome 10 open reading frame 91	bA432J24.4		12477932
25247	chromosome 10 open reading frame 92	DKFZp434A1721, bA288G11.4, bA288G11.5, bB137A17.2		11230166
26382	chromosome 10 open reading frame 93	FLJ25954, bB137A17.3		
25880	chromosome 10 open reading frame 95	FLJ14280		
30524	chromosome 10 open reading frame 96	MGC35062		12477932
31428	chromosome 10 open reading frame 99	UNQ1833, RLLV1833, FLJ21763, Em:AC022389.2		12975309
31429	chromosome 10 open reading frame 100	Em:AC010157.1		
31430	chromosome 10 open reading frame 101	Em:AC010163.1		
31431	chromosome 10 open reading frame 102	Em:AC022400.11		
31432	chromosome 10 open reading frame 103	bA537A6.3		
26976	chromosome 10 open reading frame 104	bA570G20.3, FLJ33728		14702039
20304	chromosome 10 open reading frame 105	FLJ00245		
31433	chromosome 10 open reading frame 106	bA327E2.3		
28678	chromosome 10 open reading frame 107	bA63A2.1, Em:AC022398.2, MGC44593		12477932
30724	chromosome 10 open reading frame 108	FLJ38681		
30885	chromosome 10 open reading frame 110	HT009, Em:AC022536.4		
28582	chromosome 10 open reading frame 111	MGC35468, bA455B2.4		12477932
24331	chromosome 10 open reading frame 112	bA265G8.2		19103277
31447	chromosome 10 open reading frame 113	bA165O3.1		
31448	chromosome 10 open reading frame 114	bA418C1.3		
31449	chromosome 10 open reading frame 115	bA215C7.4		
24043	chromosome 10 open reading frame 116	APM2	"adipose specific 2"	8619847
24349	chromosome 10 open reading frame 118	FLJ10188, FLJ35301		12783626
25782	chromosome 10 open reading frame 119	FLJ13081, MCMBP, MCM-BP	"minichromosome maintenance complex-binding protein"	12477932
25707	chromosome 10 open reading frame 120	bA318C4.1		
31653	chromosome 10 open reading frame 122	bA383C5.1		
24733	chromosome 10 open reading frame 125	FLJ26016		
28693	chromosome 10 open reading frame 126	MGC45541, bA492M23.1		12477932
27274	chromosome 10 open reading frame 128	Em:AC084727.5		12477932
31665	chromosome 10 open reading frame 129	bA310E22.3		
31667	chromosome 10 open reading frame 131	bA690P14.3		
31659	chromosome 10 open reading frame 135	bA748L13.4		
31657	chromosome 10 open reading frame 136	bA168P8.1		
24640	chromosome 10 open reading frame 137	EDRF1, DKFZp586F1019, FLJ21617		12477932
30374	chromosome 10 open reading frame 138	Em:AC068896.3		
32697	chromosome 10 open reading frame 140	FLJ45187		
1163	chromosome 11 open reading frame 1	FLJ23499		10873569
1172	chromosome 11 open reading frame 2	ANG2, ANG3		9286704
1181	chromosome 11 open reading frame 9			
1164	chromosome 11 open reading frame 10			12427278
1169	chromosome 11 open reading frame 16			11528127
1170	chromosome 11 open reading frame 17	BCA3, AKIP1		12527432, 15630084
19230	chromosome 11 open reading frame 18			11528127
19231	chromosome 11 open reading frame 20	DKFZP566E164		
13231	chromosome 11 open reading frame 21			11054561
1174	chromosome 11 open reading frame 24	DM4E3		11401438
18071	chromosome 11 open reading frame 30	EMSY		
18251	chromosome 11 open reading frame 31	SELH	"selenoprotein H"	12775843
30053	chromosome 11 open reading frame 34	PLET1		
28561	chromosome 11 open reading frame 35	MGC35138		12477932
26691	chromosome 11 open reading frame 36	FLJ36102, HSD-40		
32293	chromosome 11 open reading frame 39	FLJ45436		
23986	chromosome 11 open reading frame 40	NOV1		
24836	chromosome 11 open reading frame 41	G2, MGC34830		
28541	chromosome 11 open reading frame 42	MGC34805		12477932
26805	chromosome 11 open reading frame 44	FLJ39058		
28584	chromosome 11 open reading frame 45	MGC35558, FLJ43646		
26798	chromosome 11 open reading frame 46	FLJ38968		
28351	chromosome 11 open reading frame 48	MGC2477		12477932
28720	chromosome 11 open reading frame 49	FLJ22210, MGC4707		
24531	chromosome 11 open reading frame 51	HSPC020, DKFZP564M082		11042152
30531	chromosome 11 open reading frame 52	MGC14839, FLJ25219		
30527	chromosome 11 open reading frame 53	MGC50104		12477932
30204	chromosome 11 open reading frame 54	PTD012		
23262	chromosome 11 open reading frame 55	FLJ45212		
25569	chromosome 11 open reading frame 57	FLJ10726		12477932
16990	chromosome 11 open reading frame 58	SMAP	"small acidic protein"	9263035
26068	chromosome 11 open reading frame 59	FLJ20625		12358155
26146	chromosome 11 open reading frame 60	C11orf2, FLJ21827		10873569, 11230166
26266	chromosome 11 open reading frame 61	FLJ23342		
32546	chromosome 11 open reading frame 62			
26288	chromosome 11 open reading frame 63	FLJ23554		12477932
28603	chromosome 11 open reading frame 64	MGC39681		12477932
28519	chromosome 11 open reading frame 65	MGC33948		12477932
28869	chromosome 11 open reading frame 66	IIIG9, FLJ32771		12477932
30205	chromosome 11 open reading frame 67	PTD015, FLJ21035, CK067		12477932
28801	chromosome 11 open reading frame 68	P5326		
28188	chromosome 11 open reading frame 70	MGC13040		
25937	chromosome 11 open reading frame 71	FLJ20010		12477932
26915	chromosome 11 open reading frame 72	FLJ90834		
26938	chromosome 11 open reading frame 73	HSPC138, HSPC179		11042152
25142	chromosome 11 open reading frame 74	FLJ38678, HEPIS		12477932
24810	chromosome 11 open reading frame 75	FN5		10863097
25098	chromosome 11 open reading frame 76			12477932
33275	chromosome 11 open reading frame 78			
26197	chromosome 11 open reading frame 80	FLJ22531		
26351	chromosome 11 open reading frame 82	FLJ38838, FLJ25416		12477932
34399	chromosome 11 open reading frame 83	VEGA:LOC790955, UNQ655, CCDS41658.1		12975309, 15489334
25115	chromosome 11 open reading frame 84	LOC144097	"hypothetical protein BC007540"	12477932
27441	chromosome 11 open reading frame 85	LOC283129	"hypothetical protein LOC283129"	14702039
34442	chromosome 11 open reading frame 86	FLJ22675		
33788	chromosome 11 open reading frame 87	LOH11CR1A, LOC399947		12477932
25061	chromosome 11 open reading frame 88	FLJ46266, LOC399949, LOC374427	"hypothetical gene supported by BC039505"	12477932
35118	chromosome 11 open reading frame 89	LOC728008		
34443	chromosome 11 open reading frame 90	LOC387804		16554811
34444	chromosome 11 open reading frame 91	LOC100131378		
33789	chromosome 11 open reading frame 92	FLJ45803		
26978	chromosome 11 open reading frame 93			12477932
37213	chromosome 11 open reading frame 94			
28449	chromosome 11 open reading frame 95	MGC3032		12477932
1184	chromosome 12 open reading frame 4			
1185	chromosome 12 open reading frame 5	TIGAR	"TP53-induced glycolysis and apoptosis regulator"	16140933, 16839880, 18945750, 19713938
15949	chromosome 12 open reading frame 9	LPP-LRFT		12063392
17590	chromosome 12 open reading frame 10	MYG, MYG1	"melanocyte related gene"	
20174	chromosome 12 open reading frame 11	FLJ10637, NET48		12414650
28373	chromosome 12 open reading frame 12	MGC26598		
31383	chromosome 12 open reading frame 15	bcm1377		
28281	chromosome 12 open reading frame 23	MGC17943		12477932
30180	chromosome 12 open reading frame 24	HSU79274		
26228	chromosome 12 open reading frame 26	FLJ22789		
26785	chromosome 12 open reading frame 27	FLJ38690		
26316	chromosome 12 open reading frame 28	FLJ25056		
25322	chromosome 12 open reading frame 29	DKFZp434N2030		14702039
25783	chromosome 12 open reading frame 30	FLJ13089		12477932, 19660095
28206	chromosome 12 open reading frame 32	HKMT1188, MGC13204		15221005
28621	chromosome 12 open reading frame 33	MGC40170, FLJ41814		12477932
25915	chromosome 12 open reading frame 34	FLJ14721		12477932
25559	chromosome 12 open reading frame 35	FLJ20696, FLJ10652		10997877
26598	chromosome 12 open reading frame 36	FLJ33810		
26343	chromosome 12 open reading frame 37	FLJ25378		
28139	chromosome 12 open reading frame 39	MGC10946		12477932
26846	chromosome 12 open reading frame 40	FLJ40126		12477932
26024	chromosome 12 open reading frame 41	FLJ20436		12477932
24729	chromosome 12 open reading frame 42	FLJ25323		
25719	chromosome 12 open reading frame 43	FLJ12448		8619474, 9110174
25679	chromosome 12 open reading frame 44	FLJ11773		12477932
28628	chromosome 12 open reading frame 45	MGC40397		12477932
24091	chromosome 12 open reading frame 47	FLJ39616		12477932
26074	chromosome 12 open reading frame 48	FLJ20641		
26128	chromosome 12 open reading frame 49	FLJ21415		12477932
26665	chromosome 12 open reading frame 50	FLJ35821		12477932
26611	chromosome 12 open reading frame 51	FLJ34154, KIAA0614		
25925	chromosome 12 open reading frame 52	FLJ14827		8619474, 9110174
25338	chromosome 12 open reading frame 53	DKFZp547D2210		12975309
28553	chromosome 12 open reading frame 54	MGC35033		12477932
26456	chromosome 12 open reading frame 55	FLJ31514		
26967	chromosome 12 open reading frame 56			
29521	chromosome 12 open reading frame 57	GRCC10, C10		9445485
26438	chromosome 12 open reading frame 59	FLJ31166		12975309
28726	chromosome 12 open reading frame 60	MGC47869		12477932
26364	chromosome 12 open reading frame 61	FLJ25590		12477932
28216	chromosome 12 open reading frame 62	MGC14288		12477932
24777	chromosome 12 open reading frame 63	FLJ44112		
26901	chromosome 12 open reading frame 64	FLJ90579		
26784	chromosome 12 open reading frame 65	FLJ38663		12477932
26517	chromosome 12 open reading frame 66	FLJ32549		12477932
26557	chromosome 12 open reading frame 67	FLJ32894, FAM191B	"family with sequence similarity 191, member B"	14702039
33749	chromosome 12 open reading frame 68	LOC387856		
34401	chromosome 12 open reading frame 69	LOC440087		
34448	chromosome 12 open reading frame 70	LOC341346		
34452	chromosome 12 open reading frame 71	LOC728858		
28739	chromosome 12 open reading frame 72	DKFZp451L235, MGC50559		
34450	chromosome 12 open reading frame 73	FLJ13975, DKFZp547P055		
27887	chromosome 12 open reading frame 74			12477932
35164	chromosome 12 open reading frame 75	OCC-1		
33790	chromosome 12 open reading frame 76	FLJ40142		
27282	chromosome 12 open reading frame 77			12477932
14297	chromosome 13 open reading frame 1	CLLD6		11306461, 11771308
20369	chromosome 13 open reading frame 15	bA157L14.2, RGC-32, RGC32		17146433, 19158077
20370	chromosome 13 open reading frame 16	bA474D23.1, MGC35169		
20420	chromosome 13 open reading frame 18	FLJ21562		
20291	chromosome 13 open reading frame 23	bA50D16.2, FLJ12661		
28622	chromosome 13 open reading frame 26	MGC40178		12477932
25188	chromosome 13 open reading frame 27			
29575	chromosome 13 open reading frame 28			12477932
27492	chromosome 13 open reading frame 29			
26883	chromosome 13 open reading frame 30	FLJ40919		
26789	chromosome 13 open reading frame 31	FLJ38725		
25926	chromosome 13 open reading frame 33	FLJ14834		12477932
24724	chromosome 13 open reading frame 34	FLJ22624		12477932
33793	chromosome 13 open reading frame 35	FLJ26443		
33792	chromosome 13 open reading frame 36			
33830	chromosome 13 open reading frame 37	LOC440145, FLJ21869, MGC150539, RP11-11C5.2		
34361	chromosome 13 open reading frame 38	RP11-251J8.1, LOC728591		
33717	chromosome 13 open reading frame 39	LOC196541		
1187	chromosome 14 open reading frame 1	NET51, ERG28		10449901, 12958361, 11160377
1188	chromosome 14 open reading frame 2	MP68	"6.8 kDa mitochondrial proteolipid"	9653160
14282	chromosome 14 open reading frame 4	IRF2BPL, EAP1, KIAA1865	"enhanced at puberty 1"	11095982, 17627301
19435	chromosome 14 open reading frame 16			
19436	chromosome 14 open reading frame 17			
19709	chromosome 14 open reading frame 19			
19826	chromosome 14 open reading frame 21			
19827	chromosome 14 open reading frame 22			
19828	chromosome 14 open reading frame 23			
19830	chromosome 14 open reading frame 25			
19831	chromosome 14 open reading frame 26			
19834	chromosome 14 open reading frame 28			
19838	chromosome 14 open reading frame 30			
19842	chromosome 14 open reading frame 33			
19843	chromosome 14 open reading frame 34			
19846	chromosome 14 open reading frame 37			
19847	chromosome 14 open reading frame 38			
19849	chromosome 14 open reading frame 39	Six6os1		
19851	chromosome 14 open reading frame 41			
19853	chromosome 14 open reading frame 43	LSR68		
19855	chromosome 14 open reading frame 45			
19860	chromosome 14 open reading frame 48			
19861	chromosome 14 open reading frame 49	FLJ25605, NET53		
20097	chromosome 14 open reading frame 50			
20098	chromosome 14 open reading frame 51			
20100	chromosome 14 open reading frame 53			
20102	chromosome 14 open reading frame 55			
20103	chromosome 14 open reading frame 56	FLJ00035		
20104	chromosome 14 open reading frame 57			
20107	chromosome 14 open reading frame 60			
